userid,ques_count,ans_count,comment_count
83663,3,2,8
83669,4,1,1
83770,8,10,13
83791,4,72,81
83800,1,1,1
83862,4,1,3
83877,5,1,10
83887,1,5,11
83895,1,1,4
83901,1,1,1
84016,3,1,2
84154,1,2,1
84461,1,1,2
84566,10,1,8
84576,1,24,21
84602,4,8,10
84626,2,55,77
84640,2,1,4
84696,3,1,5
84830,2,1,6
84845,1,1,1
84968,1,1,2
85147,3,1,5
85308,1,2,1
85331,1,3,2
85334,1,1,1
85362,2,2,6
85391,5,2,4
85398,5,57,119
85517,1,2,5
85521,11,1,12
85540,2,7,5
85635,2,1,3
85855,2,1,3
85995,1,1,2
86020,1,1,1
86092,1,1,1
86244,5,1,6
86325,3,2,9
86339,26,167,206
86377,2,1,6
86446,1,1,1
86559,1,1,1
86571,3,2,1
86588,1,5,1
86594,3,1,6
86686,1,15,6
87028,10,3,10
87145,2,2,4
87204,2,2,2
87239,5,2,8
87270,1,5,3
87317,6,1,4
87355,22,8,31
87430,1,1,1
87594,5,5,5
87712,2,2,5
87726,1,1,7
87779,3,2,2
87795,3,1,3
87819,1,2,4
87876,7,1,1
87993,1,1,5
88005,1,1,4
88079,8,1,5
88303,3,1,3
88354,3,1,3
88539,3,1,6
88741,3,7,3
88749,2,2,3
89010,2,1,3
89019,4,5,5
89055,1,1,2
89157,1,1,1
89170,1,1,1
89193,2,1,1
89200,2,1,3
89471,1,1,2
89473,1,1,1
89474,2,3,9
89545,2,16,29
89724,4,1,2
89795,26,1,34
89929,1,2,4
90066,1,4,1
90153,2,1,3
90206,1,8,5
90226,2,54,13
90319,1,1,1
90395,2,2,2
90404,7,1,10
90407,1,3,1
90518,3,7,1
90661,3,1,4
90937,2,3,5
91251,2,1,3
91262,2,2,1
91355,1,2,4
91465,2,28,15
91482,4,1,6
91563,2,1,12
91644,7,1,2
91674,2,2,3
91700,5,1,25
91705,7,1,4
91724,16,13,111
91826,5,72,80
92050,2,50,93
92076,5,1,11
92149,3,2,4
92332,3,1,3
92553,2,1,2
93564,3,3,8
93699,5,1,1
93744,4,27,22
93816,3,3,3
93862,2,1,5
94070,3,1,11
94162,1,1,1
94199,2,2,2
94526,2,1,2
94570,1,1,6
94609,1,1,1
94862,1,1,1
95008,3,1,4
95155,6,1,2
95383,2,1,2
95494,6,2,5
95642,1,2,2
95813,1,1,1
96102,3,1,4
96209,6,1,2
96237,6,1,12
96244,1,4,1
96312,12,4,33
96431,1,1,2
96481,2,1,5
96494,3,1,6
96529,3,1,4
96533,1,1,3
96574,4,38,24
96592,3,1,8
96652,3,1,6
96653,3,1,7
96686,1,1,2
96740,1,1,2
96850,10,1,17
97006,2,1,1
97191,1,1,1
97244,1,1,3
97370,7,1,2
97653,2,3,8
97861,2,6,10
97877,1,2,1
97950,1,1,2
97996,2,1,2
98121,18,26,41
98127,1,17,11
98182,1,12,18
98194,1,1,6
98215,2,1,5
98402,3,1,2
98405,1,1,2
98408,2,1,2
98414,1,56,88
98614,1,80,67
98752,1,1,3
98775,11,7,10
98969,4,1,10
98970,4,1,3
99033,4,1,3
99078,2,1,1
99139,4,9,18
99185,1,1,1
99252,3,5,11
99415,1,1,2
99504,1,1,2
99541,3,1,3
99648,9,3,25
99838,6,6,21
100007,2,1,4
100034,8,5,6
100262,10,1,30
100294,4,1,5
100318,1,4,2
100320,1,3,3
100587,1,1,3
100734,2,1,3
100782,1,4,4
100866,1,1,4
100928,1,1,2
100936,1,1,3
100967,5,2,7
101251,4,3,3
101300,5,1,1
101318,5,1,15
101580,1,30,40
102727,1,1,1
102768,1,10,13
102852,3,37,36
102942,3,22,6
102964,1,1,2
103063,5,1,2
103144,2,1,10
103518,1,1,1
103585,1,1,2
103697,1,11,2
103774,1,1,2
103849,4,1,5
103857,3,25,55
104143,7,8,15
104161,5,43,22
104181,1,1,2
104392,6,6,13
104403,3,1,6
104538,2,1,5
104732,1,1,1
104871,2,3,7
104872,2,1,7
104959,4,1,9
105051,1,1,1
105096,3,1,2
105140,1,1,1
105458,1,1,1
105607,1,1,1
105781,1,1,5
106183,3,13,15
106282,11,4,4
106310,1,1,2
106414,1,1,4
106477,2,1,1
106563,1,1,1
106706,5,1,3
106732,1,39,48
106851,1,1,2
107036,1,1,1
107170,1,3,5
107231,1,1,1
107412,8,1,8
107691,1,38,7
107825,2,1,3
107836,1,1,4
107948,1,1,1
107980,1,7,1
108020,2,1,1
108058,1,1,2
108211,2,2,2
108340,1,5,2
108346,1,1,1
109134,3,10,18
109764,1,1,4
109820,2,2,1
110067,1,1,1
110099,1,1,3
110351,1,1,1
110413,1,1,2
110435,2,1,2
110525,2,1,3
110573,1,1,2
110767,1,1,1
110876,1,1,1
110932,5,1,3
111169,1,1,3
111272,1,1,1
111325,1,1,1
111961,1,7,10
112053,1,4,1
112375,1,1,1
112381,1,1,1
